"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","creer_deuxieme_utilisateur","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","123","partager_evenement","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","134","choisir_event","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","119","verifier_notifs","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","672","creer_compte_utilisateur","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","194","liker_annonce","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","197","ajout_commentaire","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","206","ajout_commentaire","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","187","liker_annonce","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
"","96","delete_compte","postmanCI/CD","2026-08-20","passed","2026-08-20","","","",""
